code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,avg_day_click,total_click,befor_modulopen_click,after_modulopen_click,resource_sum_click,oucontent_sum_click,url_sum_click,homepage_sum_click,subpage_sum_click,glossary_sum_click,forumng_sum_click,oucollaborate_sum_click,dataplus_sum_click,quiz_sum_click,ouelluminate_sum_click,sharedsubpage_sum_click,questionnaire_sum_click,page_sum_click,externalquiz_sum_click,ouwiki_sum_click,dualpane_sum_click,repeatactivity_sum_click,folder_sum_click,htmlactivity_sum_click,final_score,date_registration
AAA,2013J,155550,M,London Region,A Level or Equivalent,0-10%,35-55,0,420,N,Pass,6,1529,93,1436,32,824,70,335,161,-1,107,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66,-16
AAA,2013J,155854,F,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,Pass,14,4003,294,3709,30,2007,5,1009,76,-1,834,2,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,79.4,-54
AAA,2013J,155984,F,East Anglian Region,Lower Than A Level,70-80%,0-35,0,60,N,Withdrawn,5,908,250,658,19,374,38,179,85,-1,210,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23.5,-64
AAA,2013J,157568,F,South West Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,6,1405,64,1341,8,880,76,287,115,-1,30,1,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,68.6,-52
AAA,2013J,159954,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,0,60,N,Withdrawn,9,1185,140,1045,4,646,40,256,75,1,161,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20.1,-46
AAA,2013J,164259,M,Scotland,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,2,466,6,460,24,154,31,120,84,-1,53,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,70.4,-64
AAA,2013J,167906,F,Yorkshire Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,6,1510,136,1374,9,583,84,426,125,-1,282,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,70.9,-117
AAA,2013J,168936,F,West Midlands Region,Lower Than A Level,10-20%,35-55,0,60,N,Pass,3,745,0,745,9,267,17,134,38,-1,274,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,64.9,-32
AAA,2013J,172112,M,Ireland,HE Qualification,90-100%,35-55,0,60,N,Pass,7,1939,49,1890,23,1012,133,317,200,1,253,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,71.1,-50
AAA,2013J,172797,F,Ireland,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,6,1782,136,1646,29,841,25,451,142,1,287,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,61.4,-45
AAA,2013J,174782,M,East Anglian Region,HE Qualification,90-100%,55<=,0,60,N,Pass,23,6318,338,5980,19,1536,181,1304,282,-1,2988,3,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,80.1,-162
AAA,2013J,175392,M,North Region,HE Qualification,90-100%,35-55,0,60,N,Pass,16,4447,486,3961,72,1051,125,901,195,-1,2097,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,81.7,-195
AAA,2013J,175932,M,North Western Region,HE Qualification,70-80%,35-55,0,60,N,Pass,8,2016,284,1732,8,1189,28,358,162,-1,258,-1,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,78.8,-92
AAA,2013J,175991,F,North Western Region,A Level or Equivalent,80-90%,0-35,0,180,N,Fail,1,138,2,136,-1,65,1,36,23,-1,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,36,-57
AAA,2013J,180753,M,South West Region,A Level or Equivalent,30-40%,0-35,0,120,N,Pass,7,2012,113,1899,12,679,54,355,136,-1,767,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,51.7,-64
AAA,2013J,181316,F,South West Region,A Level or Equivalent,80-90%,35-55,0,120,N,Withdrawn,6,487,94,393,6,243,5,53,27,1,151,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.6,-39
AAA,2013J,183096,F,South West Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass,8,1975,256,1719,17,1027,93,393,171,-1,271,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,54,-128
AAA,2013J,183947,M,London Region,A Level or Equivalent,10-20%,0-35,0,180,N,Pass,4,964,7,957,37,396,6,176,57,1,291,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,46.6,-32
AAA,2013J,184271,M,South West Region,HE Qualification,80-90%,35-55,0,170,N,Pass,5,1312,98,1214,13,802,7,296,45,1,129,1,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,58.7,-74
AAA,2013J,185439,M,London Region,HE Qualification,10-20%,0-35,0,120,N,Fail,9,427,105,322,16,250,1,75,41,1,39,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.4,-12
AAA,2013J,186149,M,Scotland,HE Qualification,30-40%,35-55,0,60,N,Pass,8,2136,449,1687,37,897,81,466,122,2,516,11,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,75.6,-109
AAA,2013J,187100,M,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Distinction,31,8562,769,7793,25,2021,383,2143,711,-1,3274,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,89.4,-136
AAA,2013J,188278,M,Yorkshire Region,A Level or Equivalent,70-80%,35-55,0,120,N,Withdrawn,20,1434,80,1354,5,538,62,360,136,-1,330,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.6,-57
AAA,2013J,189879,M,Scotland,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,6,1541,2,1539,8,527,76,386,123,-1,410,1,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,78.8,-180
AAA,2013J,192183,F,South West Region,Lower Than A Level,90-100%,0-35,0,60,N,Pass,13,3219,148,3071,8,1826,156,698,214,-1,299,-1,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66.7,-62
AAA,2013J,195262,M,London Region,A Level or Equivalent,90-100%,0-35,0,60,N,Withdrawn,10,1905,3,1902,14,1116,38,304,85,-1,337,1,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-45
AAA,2013J,200860,M,London Region,Lower Than A Level,50-60%,35-55,0,60,N,Pass,2,534,43,491,16,91,2,199,68,-1,158,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50.8,-54
AAA,2013J,202635,F,Wales,A Level or Equivalent,30-40%,0-35,0,60,N,Withdrawn,9,1418,196,1222,8,504,11,296,44,-1,547,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,33.2,-73
AAA,2013J,205350,M,South West Region,HE Qualification,80-90%,35-55,0,60,N,Pass,6,1665,249,1416,59,577,33,337,84,-1,559,4,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,72.2,-68
AAA,2013J,205719,M,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,90,Y,Fail,2,333,13,320,5,193,11,81,30,-1,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27.3,-51
AAA,2013J,227499,F,London Region,A Level or Equivalent,10-20%,35-55,0,60,N,Distinction,12,2953,356,2597,21,752,100,668,103,-1,1299,-1,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,83.5,-169
AAA,2013J,227517,M,Ireland,HE Qualification,90-100%,0-35,0,180,N,Fail,4,1205,140,1065,7,577,20,205,126,-1,269,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,63.75,-172
AAA,2013J,228082,M,London Region,HE Qualification,60-70%,0-35,0,60,N,Pass,1,227,8,219,13,69,1,57,59,-1,27,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,74.8,-31
AAA,2013J,228222,M,East Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,2,445,0,445,8,152,24,133,42,-1,86,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,60.7,-108
AAA,2013J,229179,M,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,2,614,65,549,7,315,19,145,53,-1,75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65.1,-165
AAA,2013J,229361,M,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass,4,1215,29,1186,2,622,57,372,112,-1,40,-1,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,77.5,-58
AAA,2013J,231554,M,London Region,A Level or Equivalent,40-50%,0-35,0,240,N,Pass,7,1839,163,1676,6,1020,4,300,71,-1,436,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,52.8,-29
AAA,2013J,235507,M,Yorkshire Region,A Level or Equivalent,90-100%,0-35,0,240,N,Withdrawn,3,190,52,138,4,129,3,34,14,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.5,-79
AAA,2013J,236284,M,Scotland,Post Graduate Qualification,90-100%,0-35,0,60,N,Pass,3,732,0,732,9,498,14,94,59,-1,58,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,75.5,2
AAA,2013J,238007,M,South Region,HE Qualification,90-100%,55<=,0,60,N,Pass,8,1935,156,1779,19,965,80,391,126,3,343,-1,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,79.5,-151
AAA,2013J,240712,M,London Region,HE Qualification,80-90%,0-35,0,80,N,Pass,1,321,12,309,2,213,2,64,22,-1,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,74.2,-45
AAA,2013J,240884,M,South Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,2,427,2,425,5,197,15,87,83,-1,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,56.4,-47
AAA,2013J,241649,M,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,Pass,7,1892,288,1604,8,1166,40,358,109,-1,198,-1,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,78.8,-50
AAA,2013J,241729,F,East Midlands Region,HE Qualification,60-70%,35-55,0,60,N,Fail,7,1829,90,1739,21,945,55,484,124,-1,195,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,63.75,-31
AAA,2013J,242793,M,London Region,HE Qualification,20-30%,35-55,0,60,N,Pass,2,658,52,606,25,388,15,119,67,-1,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,79.2,-36
AAA,2013J,246834,M,South West Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,4,1174,112,1062,15,595,39,208,148,1,163,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,54.8,-16
AAA,2013J,248270,M,North Western Region,Lower Than A Level,20-30%,0-35,0,90,N,Pass,7,1969,251,1718,10,556,25,836,85,-1,449,3,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,78.9,-198
AAA,2013J,255548,M,Wales,Lower Than A Level,20-30%,35-55,0,60,N,Pass,9,2580,359,2221,7,1033,136,603,234,2,564,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,68.4,-103
AAA,2013J,256815,M,North Western Region,HE Qualification,10-20%,0-35,0,120,N,Pass,5,1481,125,1356,45,694,14,475,138,-1,106,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,77.7,-117
AAA,2013J,258392,F,West Midlands Region,Lower Than A Level,30-40%,0-35,0,60,N,Pass,3,844,51,793,53,425,48,135,112,2,68,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,59.1,-68
AAA,2013J,258894,F,East Anglian Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass,19,4963,180,4783,232,1818,-1,1220,162,-1,1528,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,64.4,-172
AAA,2013J,260355,F,London Region,A Level or Equivalent,80-90%,35-55,0,60,N,Withdrawn,2,426,31,395,3,217,3,139,14,-1,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17.5,-186
AAA,2013J,262011,M,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,Pass,4,1066,47,1019,9,472,30,199,113,2,240,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,72.1,-145
AAA,2013J,262934,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,9,2407,265,2142,21,870,115,596,250,-1,555,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,76,-191
AAA,2013J,268073,M,East Anglian Region,A Level or Equivalent,10-20%,35-55,0,90,N,Fail,12,3210,45,3165,14,1083,90,585,143,-1,1287,-1,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,59.21761364,-33
AAA,2013J,268733,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,180,N,Withdrawn,1,188,1,187,-1,123,2,38,18,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12.1,-17
AAA,2013J,271251,M,Scotland,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,12,3348,289,3059,35,1897,273,674,344,-1,118,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,76.9,-68
